1.714	-0.087	10.035
1.269	-0.156	10.257
1.719	0.044	10.087
1.715	-0.095	10.089
1.173	-0.389	10.275
1.652	0.147	10.075
1.72	0.048	9.982
1.4	-0.222	10.172
1.242	-0.231	10.253
1.928	0.082	9.905
1.478	-0.12	10.096
1.159	-0.354	10.308
1.841	0.075	10.01
1.663	0.017	10.074
1.16	-0.325	10.157
1.525	0.078	10.145
1.86	0.035	9.967
1.236	-0.215	10.212
1.426	-0.233	10.197
1.838	0.025	9.999
1.577	-0.078	10.184
1.234	-0.404	10.29
1.744	0.112	10.031
1.738	0.034	10.043
1.106	-0.298	10.292
1.544	-0.016	10.09
1.811	0.039	10.035
1.353	-0.2	10.281
1.402	-0.291	10.212
1.823	0.048	9.984
1.59	-0.058	10.102
1.174	-0.388	10.306
1.689	0.11	10.068
1.762	0.064	9.99
1.146	-0.245	10.275
1.45	-0.101	10.107
1.888	0.007	10.005
1.366	-0.172	10.234
1.357	-0.37	10.204
1.771	0.07	10.02
1.668	-0.02	10.096
1.138	-0.355	10.337
1.574	0.089	10.084
1.838	0.082	9.954
1.161	-0.213	10.246
1.454	-0.162	10.182
1.874	-0.003	9.92
1.443	-0.142	10.105
1.301	-0.403	10.229
1.746	0.074	10.042
1.75	0.019	10.053
1.094	-0.308	10.196
1.572	0.04	10.114
1.851	0.053	9.957
1.212	-0.198	10.257
1.434	-0.251	10.192
1.836	0.032	9.998
1.55	-0.116	10.218
1.225	-0.4	10.238
1.692	0.084	10.011
1.766	0.041	10.031
1.104	-0.269	10.276
1.507	-0.007	10.137
1.853	0.057	9.959
1.278	-0.149	10.174
1.365	-0.336	10.213
1.862	0.033	9.998
1.651	-0.051	10.067
1.197	-0.388	10.207
1.637	0.087	10.069
1.787	0.046	9.969
1.113	-0.243	10.274
1.478	-0.102	10.175
1.876	0.038	9.978
1.391	-0.198	10.301
1.372	-0.405	10.242
1.787	0.05	10.029
1.715	-0.04	9.996
1.125	-0.322	10.275
1.617	0.081	10.038
1.811	0.068	9.986
1.145	-0.184	10.162
1.453	-0.212	10.127
1.838	0.034	9.917
1.506	-0.145	10.163
1.308	-0.412	10.264
1.77	0.078	10.117
1.765	0.007	10.037
1.095	-0.248	10.226
1.549	0.038	10.135
1.88	0.057	10.0
1.216	-0.206	10.314
1.415	-0.309	10.164
1.826	0.025	9.94
1.599	-0.099	10.127
1.223	-0.391	10.251
1.675	0.102	10.026
1.784	0.031	9.975
1.08	-0.239	10.287
1.515	-0.057	10.138
1.869	0.031	9.968
1.351	-0.163	10.259
1.401	-0.39	10.199
1.824	0.047	9.997
1.68	-0.074	10.092
1.173	-0.357	10.265
1.635	0.122	10.036
1.805	0.037	9.988
1.113	-0.211	10.284
1.472	-0.153	10.139
1.848	0.006	9.975
1.431	-0.156	10.114
1.366	-0.429	10.249
1.8	0.047	10.023
1.726	-0.042	10.052
1.135	-0.33	10.355
1.572	0.072	10.077
1.826	0.067	9.997
1.171	-0.183	10.235
1.454	-0.233	10.145
1.863	0.005	10.016
1.55	-0.145	10.237
1.295	-0.421	10.209
1.751	0.077	10.06
1.791	0.015	10.017
1.08	-0.247	10.308
1.526	0.014	10.074
1.848	0.066	9.998
1.264	-0.18	10.306
1.407	-0.333	10.23
1.858	-0.011	9.981
1.612	-0.102	10.101
1.194	-0.402	10.293
1.671	0.105	10.052
1.793	0.035	9.978
1.073	-0.208	10.189
1.495	-0.063	10.101
1.879	0.053	10.026
1.365	-0.177	10.277
1.387	-0.396	10.218
1.815	0.008	10.015
1.705	-0.065	10.105
1.121	-0.344	10.265
1.6	0.096	10.023
1.814	0.062	9.989
1.114	-0.193	10.24
1.468	-0.157	10.197
1.823	0.021	9.939
1.431	-0.147	10.157
1.329	-0.455	10.25
1.791	0.048	10.042
1.744	-0.017	10.036
1.078	-0.301	10.184
1.565	0.05	10.102
1.825	0.052	10.02
1.19	-0.172	10.309
1.431	-0.254	10.141
1.861	0.01	10.043
1.568	-0.135	10.171
1.263	-0.432	10.276
1.7	0.08	10.031
1.765	0.014	9.964
1.109	-0.234	10.278
1.518	-0.016	10.044
1.864	0.063	9.985
1.258	-0.169	10.145
1.403	-0.359	10.213
1.85	0.026	10.001
1.647	-0.115	10.102
1.167	-0.402	10.294
1.659	0.095	10.047
1.798	0.014	10.007
1.089	-0.23	10.295
1.475	-0.08	10.121
1.865	0.037	9.966
1.377	-0.158	10.238
1.37	-0.424	10.235
1.815	0.025	10.001
1.736	-0.059	10.075
1.147	-0.347	10.311
1.617	0.108	10.114
1.835	0.046	9.968
1.151	-0.187	10.227
1.435	-0.178	10.184
1.872	0.006	9.942
1.505	-0.168	10.186
1.285	-0.435	10.203
1.782	0.047	10.072
1.773	-0.033	10.036
1.092	-0.286	10.278
1.53	0.034	10.113
1.868	0.053	10.001
1.217	-0.199	10.285
1.413	-0.319	10.212
1.875	-0.011	10.007
